Comment,Pred,Not Whataboutism ProbWhataboutism Prob,Ground Truth
"The thing is, they could have had the economy of Europe, the main problem is they lived in a kleptocracy.",1,0.10516424158497101,0.8948357584150289,0
"History repeats, Putin might as well wear a red hat saying, “MAKE RUSSIA KGB AGAIN”",1,0.09845894774574031,0.9015410522542597,0
"Excellent interview, especially pertaining to history.  No authoritarian regime ends well.  Unfortunately, they destroy many of their citizens along the way out.",1,1.8320922583462563e-06,0.9999981679077417,0
They should show what the prisons look like. Now that they have thousands of innocent people rolling in every day.,1,0.03749244034319488,0.9625075596568051,0
"In Authoritarian regimes only the leader and the people around them thrive, the citizens only suffer!!!",1,2.733327261980346e-06,0.9999972666727381,0
Requiring citizens to stay and live in captivity is strange.,1,0.0963682902086139,0.9036317097913862,0
Keep it up Putin! The world needs to see exactly what kind of person you are. The person the Trump and the GOP fell all over and defended.,1,0.3853495297107791,0.6146504702892208,0
15 years in jail for peaceful protesting? That is unheard of,1,0.14318289595862943,0.8568171040413706,0
"Yes, it seems that there are some Russians who want to flee Russia via Finland to other countries. Finland-Russia land border is open, while Estonia might have closed their Russian border.",1,1.1862750209099607e-06,0.9999988137249791,0
I have seen comics and games with countries run by super-villains run better than Russia right now. Just saying Dr. Doom and Lord Recluse at least cultivated good P.R. in between war-crimes.,1,0.2370566565606255,0.7629433434393744,0
That's what happens when you elect a right wing populist.,1,0.21961887442792735,0.7803811255720726,0
"My Grandfather was from Ireland and was persecuted by an Authoritarian English Government . 
He came to the US because HE BELIEVED IN DEMOCRACY . Do you ?...My guess is this BS and you don't.",1,0.004966773816351,0.995033226183649,0
"You all should come together and protest, they can't put the whole country in prison. United we stand United we fall",1,0.004005950584489787,0.9959940494155102,0
Lol bs they don’t know why they’re there. They’ve been fighting this war for 8 years,1,0.0056285267659816045,0.9943714732340184,0
Maybe that brain drain can come to USA and help us fight fascism,1,0.11927706518926749,0.8807229348107325,0
They are already in a prison.,1,0.0006429185411616739,0.9993570814588384,0
"You'd be absolutely insane to lift any sanctions against Russia. That would send a complete wrong message, that it's ok to flatten a country for a few weeks then go back to normal. NO THANK YOU!",1,0.28790147526479315,0.7120985247352067,0
"""In spite of temporary victories, violence never brings permanent peace."" — Dr. Martin Luther King Jr.",1,0.00048043930022834326,0.9995195606997717,0
"Sanctions should last at least 2 years and then be ""re considered"" upon Russia abiding by any agreement.",1,0.4320527386484323,0.5679472613515677,0
Don't lift the sanctions even aftwr this war. Let him use what is not siezed from his reserve billions to rebuild Ukraine. They need to pay dearly for their disgusting behavior.,1,0.22304286559195638,0.7769571344080437,0
These two know nothing about dictators and Eastern Europeans. Retreat? Admission of guilt?? What are you talking about?!?!?!?? 😂,1,0.33944925417099375,0.6605507458290063,0
"you know why the long table, correct? 
so that the World cannot see how SHORT PUTIN IS compared to
 TALL MACRON

why do you think he's on a horse like short Napoleon?",1,0.3528157936315529,0.6471842063684471,0
An example of a very poor journalism,1,0.06328784497357157,0.9367121550264284,0
oooo we are wining the war,1,0.033955834357205124,0.9660441656427948,0
Don't trust putin,1,0.4153407002701261,0.5846592997298738,0
"Putin just has to wait for republicans to take congress who will soften the stance. Putin just needs to wait it out, maybe hope for an interview with Tucker, Pompeo, and trump",1,0.4151687870634566,0.5848312129365434,0
Another neocon.,1,0.3258274362412855,0.6741725637587145,0
"Now I know why some of the best boxers in the world have been coming out of Ukraine, born from strong stock and patriotism!! Grandparents mothers and fathers a like 💪 never seen anything like it as a people, not in my life time.. Ore inspiring 😍💪🙏🙏🙏",1,0.009083513036972895,0.9909164869630271,0
"Nearly 3 weeks and they still haven’t taken Mariupol, what an embarrassment to Russia.",1,2.532069499916612e-06,0.9999974679305,0
"I hope in the future, there will be a time when war will be a thing of the past.",1,0.001436353534917165,0.9985636464650829,0
From vaccine and virus experts to military geniuses.,1,0.484006336686762,0.515993663313238,0
I am curious if the Ukrainian army is well trained and commanded enough to quickly withdraw from the east of the country and attack the Russians besieging Mariupol ?,1,2.585885901768852e-06,0.9999974141140983,0
The goal was to secure the secluded portion of the Black Sea,1,0.34503171126747567,0.6549682887325244,0
Mariupol defenders - what a defense. We need a movie about Mariupol defense in the future.,1,1.7041685103634337e-06,0.9999982958314897,0
Why no reports about Ukrainian Tochka-U missile attack in Donetsk? Doesn't fit the narrative?,1,1.6713942108748404e-06,0.9999983286057892,0
Plan B: To set up a People's Republic of Novorossiya ASAP,1,0.2605093301259727,0.7394906698740272,0
What all the countries are doing ...it is very inhuman,1,0.21218845855508142,0.7878115414449186,0
Finally a news source has some backbone and keeps the ratings/comments on,1,0.11753526336019954,0.8824647366398005,0
"frankly speaking, Biden doesn't have that leader personality",1,0.0005242237929496329,0.9994757762070503,0
Buzzfeed soon: 10 reasons why the Taliban is actually good for Afghanistan,1,0.42583577657535093,0.574164223424649,0
"Biden - We’re Pulling out! 
Also Biden- I’m deploying 6,000 troops.",1,0.000940426915927006,0.9990595730840731,0
"Saigon all over again, they waited for this weakness to take office, the fuse has been lit..",1,0.011548387575525676,0.9884516124244743,0
Don’t underestimate the taliban! They’re stronger than we think and are getting smarter I think they have some people that originated in the US on there side which would really help in terms of intel and how to use things,1,0.30832930300118466,0.6916706969988152,0
"""I AM ALTERING THE DEAL, PRAY I DON'T ALTER IT ANY FURTHER."" 
Biden",1,0.2116089106029343,0.7883910893970657,0
"Biden :- we never aimed for democracy and nation building
Taliban :- same",1,0.002106029488459933,0.9978939705115402,0
"Demand Cognitive test in public, no ear piece, no cue cards or teleprompter to give him the answers.",1,1.4071679604985931e-06,0.9999985928320395,0
"Nancy: ""no he was not acquitted and I have my hands over my ears ya ya ya ya ya""",1,2.6694813666676724e-07,0.9999997330518633,0
"Good they put juan at the end, I will stop listening when he comes on.",1,4.292134109976542e-07,0.9999995707865891,0
"The Dems are so desperate for power again it’s frightening. 
Let’s make sure they never get it. Go vote!!!!!!",1,0.387350673588216,0.612649326411784,0
He will get re-elected because of his achievements and in keeping his promises and due to the sense of his policies despite the lies and false accusations and slander by Pelosi !,1,0.3769970192153948,0.6230029807846053,0
